dataset,split,tokenizer,dim,seed,recall_at_2,top2_exact_match,recall_at_1,mean_rank,num_queries_eval,num_queries_top2_eval
limit,full,handmade,32,74,0.002,0.0,0.003,7114.071,1000.0,1000.0
limit,full,handmade,64,106,0.0045,0.0,0.006,4285.211,1000.0,1000.0
limit,full,handmade,128,170,0.014,0.0,0.017,1889.831,1000.0,1000.0
limit,full,handmade,256,298,0.0725,0.002,0.093,584.325,1000.0,1000.0
limit,full,handmade,512,554,0.3035,0.076,0.452,72.849,1000.0,1000.0
limit,full,handmade,1024,1066,0.7725,0.597,0.909,7.693,1000.0,1000.0
limit,full,handmade,2048,2090,0.9915,0.985,0.998,5.631,1000.0,1000.0
limit,full,handmade,4096,4138,0.998,0.998,0.998,4.39,1000.0,1000.0
limit-small,small,handmade,32,74,0.1715,0.012,0.199,6.662,1000.0,1000.0
limit-small,small,handmade,64,106,0.267,0.048,0.337,4.648,1000.0,1000.0
limit-small,small,handmade,128,170,0.4005,0.11,0.531,2.825,1000.0,1000.0
limit-small,small,handmade,256,298,0.6215,0.335,0.795,1.45,1000.0,1000.0
limit-small,small,handmade,512,554,0.878,0.759,0.973,1.031,1000.0,1000.0
limit-small,small,handmade,1024,1066,0.994,0.988,0.999,1.001,1000.0,1000.0
limit-small,small,handmade,2048,2090,1.0,1.0,1.0,1.0,1000.0,1000.0
limit-small,small,handmade,4096,4138,1.0,1.0,1.0,1.0,1000.0,1000.0
limit,full,qwen,32,74,0.0015,0.0,0.002,8552.091,1000.0,1000.0
limit,full,qwen,64,106,0.001,0.0,0.001,7025.281,1000.0,1000.0
limit,full,qwen,128,170,0.0025,0.0,0.003,8040.399,1000.0,1000.0
limit,full,qwen,256,298,0.012,0.0,0.015,2669.93,1000.0,1000.0
limit,full,qwen,512,554,0.0365,0.005,0.047,1745.393,1000.0,1000.0
limit,full,qwen,1024,1066,0.057,0.006,0.075,1472.064,1000.0,1000.0
limit,full,qwen,2048,2090,0.1515,0.057,0.197,507.85,1000.0,1000.0
limit,full,qwen,4096,4138,0.2675,0.16,0.321,249.157,1000.0,1000.0
limit-small,small,qwen,32,74,0.112,0.006,0.118,9.903,1000.0,1000.0
limit-small,small,qwen,64,106,0.1695,0.024,0.202,8.018,1000.0,1000.0
limit-small,small,qwen,128,170,0.218,0.04,0.274,6.478,1000.0,1000.0
limit-small,small,qwen,256,298,0.3735,0.116,0.463,3.288,1000.0,1000.0
limit-small,small,qwen,512,554,0.516,0.263,0.627,2.489,1000.0,1000.0
limit-small,small,qwen,1024,1066,0.601,0.364,0.712,1.785,1000.0,1000.0
limit-small,small,qwen,2048,2090,0.751,0.576,0.85,1.3,1000.0,1000.0
limit-small,small,qwen,4096,4138,0.801,0.665,0.853,1.264,1000.0,1000.0
limit,full,vanilla,32,74,0.0025,0.0,0.004,5852.877,1000.0,1000.0
limit,full,vanilla,64,107,0.0025,0.0,0.004,5077.347,1000.0,1000.0
limit,full,vanilla,128,170,0.0095,0.0,0.01,2476.014,1000.0,1000.0
limit,full,vanilla,256,298,0.0265,0.0,0.032,1814.797,1000.0,1000.0
limit,full,vanilla,512,554,0.063,0.012,0.082,639.968,1000.0,1000.0
limit,full,vanilla,1024,1066,0.199,0.076,0.265,171.746,1000.0,1000.0
limit,full,vanilla,2048,2090,0.457,0.262,0.579,80.985,1000.0,1000.0
limit,full,vanilla,4096,4138,0.706,0.617,0.767,86.917,1000.0,1000.0
limit-small,small,vanilla,32,74,0.123,0.005,0.143,9.705,1000.0,1000.0
limit-small,small,vanilla,64,106,0.1705,0.023,0.205,7.153,1000.0,1000.0
limit-small,small,vanilla,128,170,0.2925,0.07,0.375,4.641,1000.0,1000.0
limit-small,small,vanilla,256,298,0.3845,0.122,0.456,3.196,1000.0,1000.0
limit-small,small,vanilla,512,554,0.6145,0.364,0.716,1.636,1000.0,1000.0
limit-small,small,vanilla,1024,1066,0.7845,0.603,0.913,1.193,1000.0,1000.0
limit-small,small,vanilla,2048,2090,0.898,0.815,0.953,1.076,1000.0,1000.0
limit-small,small,vanilla,4096,4138,0.9545,0.922,0.959,1.066,1000.0,1000.0
